"id","name","category","low_price","high_price","median_price","description"
"1","Jellyfish.co","DevOps","15750.00","79900.00","30000.00","Enable engineering performance and strategic alignment with Jellyfish Engineering Management Platform. We integrate with tools like Jira and GitHub."
"2","Encora","DevOps","8765.00",NULL,NULL,NULL
"3","Aspose","DevOps","4534.00","9568.00","6746.00",".NET Java Cloud SharePoint Android SSRS and JasperReports file format APIs for developers. Integrate in any enterprise level web desktop and mobile application"
"4","Sonarsource","DevOps","8000.00","55823.00","20500.00","SonarSource is a software company focused on providing solutions for building better software. "
"5","Altium","DevOps","6428.00","50332.00","19968.00","Altium is software company that provides PC-based electronics design software for engineers who design printed circuit boards."
"6","LinearB","DevOps","2496.00","68250.00","24750.00","Don’t stop at “data-driven insights.” LinearB is an engineering efficiency tool that correlates data across your tools to identify bottlenecks and automate developer workflow optimization."
"7","npm","DevOps",NULL,NULL,NULL,"npm is committed to making JavaScript development elegant, productive, and safe. "
"8","Codacy","DevOps","12825.00",NULL,NULL,NULL
"9","Developer Express","DevOps",NULL,NULL,NULL,"Developer Express Inc. is a software development company founded in 1998 with headquarters in Glendale, California."
"10","Sourcegraph","DevOps","24890.00","283200.00","75000.00","Sourcegraph is a code intelligence platform that allows developers to rapidly search, write, and understand code by bringing insights from their entire codebase right into their editor. They help developers and companies with billions of lines of code create the software you use every day."
"11","Semgrep","DevOps","20000.00","194280.00","53200.00","Semgrep helps find bugs, run security scans in CI, and enforce security standards by scanning first-party code and open-source dependencies."
"12","Sonatype","DevOps","6000.00","35158.00","9442.00","Sonatype Nexus helps software development teams use open source so they can innovate faster and automatically control risk. "
"13","Sidekiq","DevOps",NULL,NULL,NULL,"Sidekiq is a platform works as an efficient background job for small to mid-size companies. "
"14","Jama Software","DevOps","47233.00","535466.00","61455.00","Jama Software leads the field in product development software, offering requirements management, traceability, test management and maximum ease of use compared to other software platforms on the market. Contact us for a free 30-day trial today."
"15","KiSSFLOW","DevOps",NULL,NULL,NULL,"KiSSFLOW is a workflow tool & business process workflow management software to automate your workflow process. Rated #1 cloud workflow software in Google Apps Marketplace."
"16","Aptible","DevOps","49920.00","342332.00","139599.00","Powerful security and DevOps tools for engineering teams."
"17","Retool","DevOps","19800.00","149120.00","58700.00","Build custom internal tools in minutes. Build an interface via our drag-and-drop UI, hook it up to your data, and you're done."
"18","DHTMLX","DevOps",NULL,NULL,NULL,"JavaScript UI framework for high-speed web and mobile app development with customizable HTML5 UI controls. Free trial version available."
"19","Progress","DevOps","1159.00","35244.00","9409.00","Progress Software Corporation is an American publicly held company headquartered in Bedford, Massachusetts."
"20","Cloudpipes","DevOps",NULL,NULL,NULL,"Bring your cloud applications together."
"21","Gurobi","DevOps","13860.00","119556.00","35245.00","Gurobi builds and supports the leading math programming solvers available for all major problem types. It's all we do."
"22","Swarmia","DevOps","7465.00","26536.00","19890.00","There's a way to accelerate your engineering organization without compromising culture or quality. Trusted by 1,000+ high-performing engineering teams."
"23","Cloudsmith","DevOps","23160.00","60464.00","57586.00","Get better DevOps with secure software delivery for: Alpine, Cargo, CocoaPods, Composer, Conan, Conda, CRAN, Dart, Debian, Docker, Go, Helm, LuaRocks, Maven, npm, NuGet, P2, Python, RedHat, Ruby, Terraform, Vagrant, Raw & More!"
"24","Haystack","DevOps","5700.00","21083.00","16463.00","Visibility Into How Your Software Team Works.  Insights, Alerts and Software Development Metrics from Github."
"25","Incredibuild Software","DevOps","4200.00","24453.00","9679.00","Incredibuild is a suite of grid computing software developed by Incredibuild Ltd."
"26","OutSystems","DevOps","115566.00","308179.00","182664.00","With the OutSystems low-code platform, you can develop enterprise applications that evolve with your business."
"27","EPAM Systems","DevOps",NULL,NULL,NULL,"EPAM Systems, Inc. is an American company that specializes in service development, digital platform engineering, and digital product design."
"28","Dynamsoft","DevOps","5028.00","28740.00","17674.00","Dynamsoft Corp. is a multinational software development company with its headquarter in Vancouver, Canada."
"29","Chocolatey","DevOps","9230.00","32270.00","26350.00","Chocolatey is a package manager for Windows that simplifies the installation and management of software."
"30","Superblocks","DevOps","4090.00","196356.00","10896.00","Superblocks is an AI-powered coding assistant that helps developers save thousands of hours on building custom internal tools. With Superblocks, developers can quickly build apps, workflows, and jobs connected to their data with granular permissions, RBAC, SSO, audit logs, and secrets management."
"31","Embarcadero Technologies","DevOps","5125.00","15006.00","5916.00","Embarcadero Technologies, Inc. is an American computer software company that develops, manufactures, licenses, and supports products and services related to software through several product divisions."
"32","Bubble","DevOps","30918.00","33060.00","33060.00","Bubble introduces a new way to build a web application. It’s a point-and-click programming tool, entirely without code. Bubble hosts all applications on its cloud platform."
"33","Cleo Labs","DevOps",NULL,NULL,NULL,"Cleo Labs is the first and only global solution providing end-to-end support to working families from planning a family to caring for an adult loved one."
"34","Cortez Labs","DevOps","15000.00","20773.00","20500.00","Cortez Labs enables your sales teams to efficiently manage and leverage advocates in 100% Salesforce native, lightning-enabled interface."
"35","Hex-Rays","DevOps",NULL,NULL,NULL,"We are a hi-tech company focusing on binary software analysis. Our main products are IDA Pro and the Hex-Rays Decompiler.  Inquiries: https://t.co/3AkMrQmJgF"
"36","TeamDev","DevOps","5474.00","6014.00","5474.00","We have created a range of tools to help developers save time and focus on what really matters."
"37","Waydev","DevOps",NULL,NULL,NULL,"✅ Git Analytics Intelligence Platform! Waydev analyzes your codebase, PRs, CI /CD, calendar, and tickets activity to help you bring out the best in your engineering team's work."
"38","Andros","DevOps",NULL,NULL,NULL,"Andros is a cloud-based mobile app development platform."
"39","Rogue Wave Software","DevOps","6980.00","36288.00","12000.00","We’re the largest independent provider of cross-platform software development tools and embedded components in the world. Come see how we can help."
"40","BARR","DevOps",NULL,NULL,NULL,"Barr Engineering Company is an employee-owned consulting firm integrating engineering and environmental expertise to help clients develop, manage, and restore natural resources. Our projects take us across the nation and around the world."
"41","Bit","DevOps","4483.00","22215.00","14321.00","Bit is the leading toolchain for component-driven development. Forget monolithic apps and distribute to component-driven software. Build like the world’s best teams."
"42","CodeScene","DevOps",NULL,NULL,NULL,"CodeScene by Empear - The history of your code will decide its future."
"43","Insomnia REST Client","DevOps",NULL,NULL,NULL,"Insomnia is a cross-platform GraphQL and REST client, available for Mac, Windows, and Linux"
"44","Flare.build","DevOps",NULL,NULL,NULL,"Flare.build is a world-leading company specializing in Bazel-focused services, offering a product line to help enterprises and high-growth startups accelerate their Mobile DevOps feedback loop."
"45","Glide","DevOps",NULL,NULL,NULL,"Glide turns spreadsheets into powerful apps for work, without writing any code. Pick a spreadsheet or start with a template, customize your app, then share it instantly with anyone. Start today for free!"
"46","JxBrowser","DevOps",NULL,NULL,NULL,"Add Chromium web browser to your Java app. Display web pages and PDFs in JavaFX, Swing, SWT. Work with DOM, JS, Network, Printing, Downloads, etc."
"47","Laravel","DevOps",NULL,NULL,NULL,"Its Community of Developers working on Laravel Php Framework"
"48","Voiceflow","DevOps",NULL,NULL,NULL,"Visually design, prototype and publish voice and chat apps across channels like Alexa, Google or any custom channel/modality. Get started today, with no code."
"49","Prismatic","DevOps","2558.00","66000.00","29940.00","The world's most versatile and dev-friendly embedded iPaaS gives every team in your B2B SaaS tools they'll love for building, supporting, and embedding integrations."
"50","Edgio","DevOps",NULL,NULL,NULL,"Edgio is a powerful platform that helps you develop, protect, operate, and deliver your online business on the leading edge. With features like Dual WAF, Predictive Prefetching, and Smartplay, Edgio provides a high-quality, secure experience with global scale and unparalleled performance."
"51","Syncro Soft","DevOps",NULL,NULL,NULL,"<oXygen/> XML Editor is the complete XML editing solution, providing must have tools for XML editing and covers most XML standards and technologies. <oXygen/> XML Editor includes all the features of <oXygen/> XML Developer and Author. "
"52","Zero Turnaround Jrebel","DevOps",NULL,NULL,NULL,"JRebel by Perforce is home to the award-winning Java developer tools, JRebel and XRebel. See how they can help your team build better applications, faster."
"53","Actipro Software","DevOps",NULL,NULL,NULL,"Actipro is a leading provider of professional user interface controls for popular Microsoft UI platforms like WPF, and offers products for other platforms as well."
"54","Cad","DevOps",NULL,NULL,NULL,"Computer Aided Development Corporation Ltd. is a British owned and run company established in 1991."
"55","Cloud 66","DevOps",NULL,NULL,NULL,"Cloud 66 Makes Deploying and Managing web Apps Simple on any Cloud."
"56","Caylent","DevOps",NULL,NULL,NULL,"Caylent is a cloud-based DevOps automation platform."
"57","Dagster","DevOps",NULL,NULL,NULL,"Dagster is a cloud-native orchestrator designed for the management and execution of data pipelines throughout the entire development lifecycle. It offers features like software-defined assets, integrated lineage and observability, first-class testing, and deep integration with modern data stacks to help data engineers manage complexity and accelerate data pipeline deployment."
"58","CloudShark","DevOps","7500.00","33750.00","7500.00","Wireshark for the web. Organize your captures, collaborate on problems, instant #security threat assessment: all in your browser."
"59","CGAL","DevOps",NULL,NULL,NULL,"GeometryFactory offers the CGAL software components under various licenses which correspond to different needs: industrial development, industrial and academic research."
